deepSleepHours,lightSleepHours,remSleepHours,awakeHours
1.5666666666666667,4.066666666666666,1.2166666666666666,0.5666666666666667
0.9166666666666666,4.75,1.7,0.0
1.8,4.416666666666667,2.55,0.0
0.9666666666666667,5.933333333333334,1.6,0.4666666666666667
2.05,4.366666666666666,2.3333333333333335,0.18333333333333332
1.45,3.933333333333333,1.7833333333333334,0.08333333333333333
1.6833333333333333,3.966666666666667,2.066666666666667,0.4666666666666667
1.0833333333333333,5.533333333333333,1.45,0.9166666666666666
0.9166666666666666,5.683333333333334,0.85,0.6333333333333333
1.2666666666666666,4.733333333333333,1.2166666666666666,0.6666666666666666
2.2666666666666666,2.716666666666667,1.7666666666666666,0.75
1.5666666666666667,4.45,2.1666666666666665,0.11666666666666667
1.7333333333333334,4.2,2.6166666666666667,0.3
1.2666666666666666,4.4,1.4,1.2166666666666666
1.0333333333333334,6.45,1.8666666666666667,0.5333333333333333
1.4,5.55,1.7333333333333334,0.3333333333333333
1.8,3.85,2.2666666666666666,0.08333333333333333
1.6666666666666667,3.3666666666666667,1.7,0.0
1.6833333333333333,4.883333333333334,2.15,0.26666666666666666
1.5333333333333334,4.516666666666667,1.5833333333333333,0.6333333333333333
1.8,3.066666666666667,0.9333333333333333,0.5833333333333334
1.6833333333333333,3.4,1.5,0.0
1.35,4.65,1.7666666666666666,0.11666666666666667
1.65,4.166666666666667,0.8166666666666667,0.25
1.8333333333333333,3.6333333333333333,2.716666666666667,0.31666666666666665
0.45,5.333333333333333,2.4,1.0666666666666667
0.9166666666666666,5.4,1.8666666666666667,0.48333333333333334
1.7833333333333334,3.3,0.8,0.0
2.1666666666666665,4.05,1.35,0.31666666666666665
0.9333333333333333,5.883333333333334,1.5,0.21666666666666667
1.1333333333333333,5.4,1.1833333333333333,0.9166666666666666
1.1,5.0,1.4666666666666666,1.0333333333333334
1.8666666666666667,4.5,2.05,0.36666666666666664
1.7833333333333334,3.2333333333333334,1.6833333333333333,0.1
1.1,4.95,1.05,0.23333333333333334
1.5833333333333333,4.733333333333333,2.6166666666666667,0.18333333333333332
1.3166666666666667,3.85,1.8333333333333333,0.0
1.65,4.766666666666667,1.35,0.06666666666666667
1.9666666666666666,4.883333333333334,1.5333333333333334,0.06666666666666667
1.9,4.65,2.216666666666667,0.18333333333333332
1.9833333333333334,4.55,2.3,0.25
1.4666666666666666,4.316666666666666,1.7666666666666666,0.6166666666666667
1.85,4.3,1.8,0.0
1.5833333333333333,4.45,1.4166666666666667,0.0
0.8833333333333333,5.133333333333334,1.4833333333333334,0.6333333333333333
,,,
1.9166666666666667,5.55,1.0666666666666667,0.21666666666666667
1.1,5.25,2.1166666666666667,0.0
1.6,3.2666666666666666,1.6666666666666667,0.15
0.43333333333333335,4.9,1.6,0.4
1.25,5.366666666666666,1.9833333333333334,0.7166666666666667
2.15,3.683333333333333,1.7333333333333334,0.11666666666666667
1.9,3.6666666666666665,1.3666666666666667,0.55
1.5333333333333334,5.016666666666667,2.0,0.15
1.1833333333333333,5.5,2.1666666666666665,0.1
1.3333333333333333,4.766666666666667,1.7166666666666666,0.3333333333333333
0.9166666666666666,4.7,1.8833333333333333,0.03333333333333333
0.8666666666666667,4.4,1.1166666666666667,0.11666666666666667
1.7666666666666666,4.833333333333333,1.5666666666666667,0.55
1.2,4.2,2.3666666666666667,0.18333333333333332
1.45,5.3,1.0833333333333333,0.48333333333333334
1.9333333333333333,3.2666666666666666,2.1666666666666665,0.4166666666666667
1.5166666666666666,3.95,2.3333333333333335,0.4666666666666667
1.5833333333333333,5.016666666666667,1.7833333333333334,0.5166666666666667
1.8,3.8333333333333335,1.75,0.13333333333333333
1.85,4.783333333333333,1.6166666666666667,0.4666666666666667
1.6666666666666667,4.516666666666667,2.033333333333333,0.6
1.3833333333333333,4.6,1.7666666666666666,0.35
0.9833333333333333,5.566666666666666,2.9,0.35
1.1833333333333333,4.083333333333333,1.6666666666666667,0.21666666666666667
1.2333333333333334,4.416666666666667,2.25,0.6166666666666667
2.183333333333333,4.333333333333333,2.183333333333333,0.43333333333333335
1.7166666666666666,3.8,1.8666666666666667,0.6
1.15,4.966666666666667,1.65,0.4666666666666667
1.5166666666666666,3.45,0.85,0.08333333333333333
1.3166666666666667,5.916666666666667,1.75,0.4166666666666667
1.1666666666666667,4.816666666666666,2.466666666666667,0.31666666666666665
1.4166666666666667,4.783333333333333,1.95,0.4666666666666667
1.35,5.8,0.9666666666666667,0.6333333333333333
0.9,2.8,1.6833333333333333,0.13333333333333333
1.9333333333333333,3.8,1.3666666666666667,1.0833333333333333
2.6166666666666667,3.7333333333333334,1.3833333333333333,0.35
1.1333333333333333,5.316666666666666,0.45,0.6666666666666666
1.45,4.45,1.5333333333333334,0.18333333333333332
2.05,3.8333333333333335,2.35,0.35
1.6333333333333333,2.95,1.7,0.0
1.1833333333333333,6.45,1.8666666666666667,0.2
1.5333333333333334,6.35,2.0,0.6833333333333333
0.95,6.733333333333333,2.1,0.8833333333333333
2.7333333333333334,4.65,1.6,0.3333333333333333
1.0666666666666667,6.016666666666667,1.75,0.8666666666666667
1.65,2.033333333333333,0.9166666666666666,0.15
1.6666666666666667,3.3666666666666667,2.033333333333333,0.2833333333333333
1.0,6.033333333333333,2.1166666666666667,0.43333333333333335
1.25,5.533333333333333,2.2666666666666666,0.8666666666666667
0.9333333333333333,4.2,1.2,0.1
1.5166666666666666,5.783333333333333,1.1333333333333333,0.7333333333333333
1.3833333333333333,4.533333333333333,1.5166666666666666,0.23333333333333334
1.1,5.066666666666666,2.1,0.3333333333333333
